id;titulo;fecha_publicación;num_páginas ;ranking;language_code;ratings_count;text_reviews_count;publisher
1;Venac sonetnih venaca;01/01/1996;222;0;srp;0;0;"Izdava?ka agencija ""Draganic?"""
2;Mythographi Graeci 1: Apollodori Bibliotheca  Apollodori epitoma  Procli excerpta ex cycli epici carminibus  Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana;7/15/1998;335;0;grc;0;0;K.G. Saur Verlag
3;Out to Eat London 2002 (Lonely Planet Out to Eat);09/01/2001;295;0;eng;0;0;Lonely Planet
4;Juiced Official Strategy Guide;06/01/2005;112;0;eng;0;0;BradyGames
5;Open City 6: The Only Woman He Ever Left;10/13/2000;200;0;eng;0;0;Grove Press  Open City Books
6;"How To Meditate: An Anthology Of Talks On Meditation And ""Meditation: The Bridge Is Flowing But The River Is Not""";01/01/2004;228;0;eng;0;0;Frederick P. Lenz Foundation for American Buddhism
7;Insights: Talks On The Nature Of Existence;01/01/2003;304;0;eng;0;0;Frederick P. Lenz Foundation for American Buddhism
8;Brodie's notes on Aldous Huxley's brave new world;8/20/1992;71;0;eng;0;0;Macmillan
9;American Film Guide;01/01/1983;5;0;eng;0;0;Salem Press Inc
10;The Man and the Author: John Milton: Twentieth Century Perspectives;11/08/2002;386;0;eng;0;0;Routledge
11;Canopy: A Work for Voice and Light in Harvard Yard;12/31/1997;63;0;eng;0;0;Arts Publications
12;"Laguna  I Love You: The Best of ""Our Town""";03/01/1996;285;0;eng;0;0;Fithian Press
13;American Writers  Supplement VIII;05/01/2001;400;0;eng;0;0;Gale Cengage
14;The Road To War  1933 39;04/01/2000;128;0;eng;0;0;Hodder & Stoughton Educational Division
15;I'll Be Home Before Midnight and I Won't Get Pregnant;05/12/1988;288;0;eng;0;0;Knopf Doubleday Publishing Group
16;Sclerotherapy and vein treatment;12/30/2011;248;0;eng;0;0;McGraw-Hill Professional Publishing
17;The Berlin Phenomenology;5/31/1981;210;0;eng;0;0;Springer
18;Your Child and Jesus: A Family Activity Book;9/13/1999;112;0;eng;0;0;Moody Publishers
19;Beckett Football Card Price Guide;09/01/2006;830;0;eng;0;0;Beckett Media
20;Random House Crossword Mega Omnibus  Volume 1;7/22/1997;336;0;eng;0;0;Random House Puzzles & Games
21;Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons;08/05/2006;241;0;eng;0;0;Routledge
22;Day and Night;03/01/1989;32;0;eng;0;1;Meredith Corporation
23;The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts;3/30/2002;176;0;eng;0;0;Greenwood Press
24;The Leadership Challenge: Skills for Taking Charge;12/01/1985;60;0;eng;0;0;AMR/Advanced Management Reports
25;Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton;12/09/1999;96;0;eng;0;0;Between the Lines Productions
26;Puzzle Pack: The Witch of Blackbird Pond;8/15/2005;134;1;eng;2;0;Teacher's Pet Publications  Inc.
27;Mandala Sand Art Kit;01/01/2004;8;1;eng;1;0;Walter Foster Publishing
28;The Art of Loving by Erich Fromm: A True Story of a Japanese Woman;10/31/2006;227;1.67;eng;3;2;Intercultural Publishing
29;V.S. Naipaul;10/10/2003;240;2;eng;1;0;Palgrave Macmillan
30;The Boys of the Archangel Raphael: A Youth Confraternity in Florence  1411-1785;5/30/1998;498;2;eng;1;0;University of Toronto Press
31;McDougal Littell Science: Student Edition Grade 6 Earth Science 2006;04/12/2005;972;2;eng;3;0;McDougal Littel
32;The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do;08/01/2002;32;2;eng;1;1;Chronicle Books
33;The Two Tocquevilles  Father and Son;04/01/1987;254;2;eng;1;0;Princeton University Press
34;The Earth and Its Peoples: A Global History  Volume C: Since 1750;02/09/2004;370;2;eng;1;1;Cengage Learning
35;The Die Broke Financial Problem Solver;12/26/2000;272;2.33;eng;3;0;William Morrow Paperbacks
36;Citizen Girl;10/04/2005;305;2.4;eng;5415;577;Washington Square Press
37;Field Guide to Home Buying in America;5/15/1988;256;2.5;eng;4;1;Touchstone
38;The Trouble with the Pears: An Intimate Portrait of Erzsebet Bathory;2/14/2006;272;2.55;eng;33;7;Authorhouse
39;A Matter of Trust;12/23/1994;224;2.61;eng;36;5;Harlequin Presents
40;Planet of the Apes  Volume 1: Old Gods;03/05/2002;80;2.62;eng;8;2;Dark Horse Comics
41;Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free;04/01/2006;144;2.62;eng;2;1;Harry N. Abrams
42;13th Directorate;2/28/1989;0;2.62;eng;8;1;Ivy Books
43;The Governess;9/26/2005;132;2.63;eng;242;6;
44;Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy;01/01/1998;260;2.67;eng;3;1;Little Brown and Company
45;The Birds (Methuen Drama);7/22/2002;96;2.67;eng;3;1;Bloomsbury Methuen Drama
46;In Web Design for Libraries;12/01/2006;196;2.67;eng;9;2;Libraries Unlimited
47;Juneau and Sauk Counties: 1850-2000 (Images of America: Wisconsin);03/05/2002;128;2.67;eng;3;0;Arcadia Publishing
48;Alentejo Blue;6/20/2006;304;2.72;eng;788;104;Scribner Book Company
49;Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4;04/05/2004;24;2.75;eng;4;1;Volo
50;Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences;10/18/2004;360;2.75;eng;4;1;Pearson
51;Raised on Rock: Growing Up at Graceland;12/01/1931;192;2.75;eng;4;0;Trafalgar Square Publishing
52;Bright Star's Promise;07/01/1994;444;2.77;eng;13;3;Zebra
53;Yellow Dog;01/04/2005;352;2.79;eng;1449;94;Vintage
54;Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs;12/29/1983;80;2.8;eng;5;0;Cliffs Notes
55;Ewan McGregor: From Junkie to Jedi;05/05/1999;144;2.8;eng;10;1;Plexus Publishing
56;You Don't Love Me Yet;5/29/2007;225;2.81;eng;3854;547;Doubleday Books
57;Four Blondes;06/08/2001;256;2.82;eng;23409;877;Grove Press
58;Lost;9/17/2002;340;2.82;eng;13152;904;William Morrow Paperbacks
59;Challengers of the Unknown: Stolen Moments  Borrowed Time;3/29/2006;144;2.82;eng;44;8;DC Comics
60;Cliffs Notes on Hemingway's The Old Man and the Sea;12/05/2000;80;2.83;eng;4;0;Cliffs Notes
61;American Government: Continuity and Change  Alternate Edition;03/11/2005;664;2.83;eng;0;0;Longman Publishing Group
62;American Government: Continuity and Change;03/04/2005;792;2.83;eng;1;0;Longman Publishing Group
63;American Government: Continuity and Change  Texas Edition;5/26/2005;1088;2.83;eng;0;0;Longman Publishing Group
64;Teleportation: From Star Trek to Tesla;8/20/2012;139;2.83;eng;2;1;Inner Light - Global Communications
65;P.S. I Love You (Sealed with a Kiss #4);4/24/1995;192;2.83;eng;23;1;Harlequin Romance
66;The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett;01/01/1998;176;2.83;eng;6;0;Citadel Press
67;The Thomas Berryman Number;04/01/1996;272;2.86;eng;4320;307;Grand Central Publishing
68;Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice;02/01/1997;286;2.86;eng;114;9;Revive Publishing
69;The Diagnosis;2/19/2002;384;2.86;eng;898;123;Vintage
70;Up in the Air;9/24/2002;320;2.86;eng;3504;490;Anchor
71;Lair of the White Worm;10/01/2002;120;2.86;eng;2276;244;Deodand Publishing
72;Divorcio a la Francesa: Le Divorce;06/01/2003;388;2.88;spa;6;0;Santillana USA Publishing Company
73;Le Divorce;07/01/2003;320;2.88;eng;3602;295;Plume
74;Checkpoint;04/12/2005;128;2.88;eng;654;60;Vintage
75;Queen of the Underworld;1/30/2007;368;2.89;eng;541;100;Ballantine Books
76;Planet of the Apes: The Fall;06/04/2002;288;2.92;eng;53;2;HarperEntertainment
77;Children of the Thunder / The Tides of Time / The Crucible of Time;05/03/1995;800;2.92;eng;11;1;Wings
78;Secret Identity (Lost  #2);01/01/2006;176;2.93;eng;195;11;Voice
79;Zelda's Cut;02/01/2001;432;2.94;eng;65;12;HarperCollins Publishers
80;The Doctor's House;02/11/2003;288;2.96;eng;164;23;Scribner
