id_Libro,id_Autor
1,2040
2,544
2,7353
3,5334
3,5695
4,2144
5,6547
5,3764
5,1622
5,6045
5,1917
5,7180
5,7368
5,8319
5,1926
6,2762
7,2762
8,3077
9,2714
10,3542
11,1691
11,6612
11,7956
11,3523
12,4466
12,6928
13,3898
13,617
14,334
15,501
16,7412
16,5547
16,4752
17,2904
17,6103
18,7369
18,4938
19,1585
19,3668
20,8780
21,3878
21,383
22,782
23,3684
24,8955
25,6823
25,3443
25,525
26,5809
27,8923
28,5023
29,964
30,4980
31,5945
31,2169
32,6322
32,741
33,7062
34,7350
34,6601
34,8294
35,8217
35,5702
36,2475
36,6463
37,5702
37,6142
37,8217
38,2995
39,6791
40,3439
41,8111
41,2538
42,691
43,0
44,4458
44,3923
45,7963
46,1230
47,3624
47,8025
48,6294
49,599
49,7139
50,3651
51,1866
51,5674
52,4736
53,5776
54,8888
55,931
56,4511
57,1042
58,3113
58,2167
59,3379
59,6197
60,3949
60,2837
61,4735
61,5050
62,4735
62,5050
63,4735
63,5050
64,1485
64,8631
65,8806
66,8606
67,3758
68,8469
68,5632
69,126
70,8935
71,889
72,2015
72,1079
72,7585
73,2015
74,6443
75,2811
76,9104
77,4259
78,1150
79,6971
80,405
81,6395
81,5767
82,3090
83,6394
84,3046
85,5169
85,2635
86,8533
86,4901
87,7002
87,745
88,3907
88,1999
89,9012
90,514
91,5847
91,7895
91,7115
92,8115
93,445
94,4106
94,4432
95,7437
95,6084
95,2267
96,9138
96,6825
97,260
97,7778
97,5470
97,2413
97,4424
97,2942
97,7722
97,6421
97,2161
97,1706
97,5386
98,4140
98,1598
99,5058
99,1573
99,4948
100,2974
101,4879
102,4796
103,5329
104,4793
105,4569
106,7368
107,4108
108,7717
108,6548
109,5413
110,3379
110,1876
110,1781
111,7368
112,7368
113,222
114,4748
115,6339
116,4946
117,2849
118,4177
119,7393
120,4537
121,8138
122,814
123,3320
124,5231
124,3726
125,4259
126,3320
126,3329
126,2789
126,3216
126,7546
126,269
127,3320
128,7557
129,4505
129,4505
131,3739
131,1455
132,3320
132,3216
132,5996
132,3320
134,5747
134,7944
134,3388
134,1965
134,6929
134,3567
134,4438
134,6205
134,1577
135,6806
136,3379
137,4108
132,3320
132,3320
140,1358
141,7802
142,8795
143,8339
144,4670
144,6330
145,8524
145,3304
145,2151
146,2390
147,2390
148,6521
149,5199
149,924
150,5600
151,1811
151,7793
151,5517
152,2487
153,3027
154,5576
154,5317
155,845
155,2675
156,5802
156,4417
157,2172
158,9166
159,183
159,5765
160,4954
161,9166
162,8896
162,8340
162,170
162,8727
162,360
162,3495
162,3003
162,8843
161,9166
164,1602
165,1602
166,5701
167,1425
168,7119
169,4452
170,3424
171,4123
171,291
172,194
173,6457
174,3371
174,2205
174,8941
174,3371
176,4601
176,699
176,2494
177,9041
178,6958
179,3826
179,3992
179,5312
180,4645
180,8108
181,4165
182,8225
183,8465
183,2179
184,1539
185,5938
186,5000
186,2620
186,5165
186,2990
186,6796
186,4543
187,7315
188,7568
189,1258
189,6229
189,941
189,7501
189,6234
189,7791
189,8323
189,2736
190,2050
191,1997
192,6689
192,8996
192,5706
192,9174
192,562
192,5800
193,5753
194,3215
195,2498
195,2947
195,6877
195,7570
195,4628
195,491
195,8658
195,4368
195,2715
195,768
195,3094
195,5523
195,3233
195,3606
195,2236
195,6699
195,5052
196,2050
197,3679
198,5522
199,335
200,4385
201,3964
202,7393
203,6692
204,4601
205,3437
205,2188
206,6752
207,6791
208,4108
209,2450
210,4339
211,6531
212,778
212,2137
213,2050
214,4677
215,6396
216,1685
217,3258
218,8806
219,8795
220,3540
221,415
222,3758
223,6995
224,6175
225,4800
226,9106
226,9045
226,7920
227,5325
227,7304
228,2313
229,3198
230,1848
231,6824
231,2944
232,4058
232,1310
232,2642
233,3845
234,3842
235,5181
236,6761
237,4989
238,3948
239,2404
240,6320
241,6851
241,4986
242,3483
243,7004
244,5072
244,4532
245,4157
244,5072
244,4532
244,2563
247,25
248,3439
249,3113
250,5747
250,6584
251,471
252,6947
253,7617
254,8217
255,8629
256,7826
257,2275
258,3641
259,5614
260,2539
261,8115
262,7225
262,969
262,6946
262,1203
262,7614
262,7477
263,7217
263,2932
264,3297
264,121
264,2608
265,8167
266,6521
266,4260
267,4339
268,397
269,6971
270,6427
271,837
271,7337
271,7977
272,1439
273,6773
273,131
274,1076
275,6519
276,3666
276,6688
277,2710
273,6773
273,131
279,4339
280,5691
