id,editorial
1,Hippo/Scholastic
2,Ellora's Cave
3,Gallery Books
4,Jove
5,"Izdavačka agencija ""Draganic?"""
6,18-oct
7,1st Book Library
8,1st World Library
9,Hachette Audio
10,Grand Central Publishing
11,A & C Black (Childrens books)
12,A Harvest Book/Harcourt  Inc.
13,A K PETERS
14,AA World Services
15,Abacus
16,Abacus Books
17,Abacus Books (London)
18,Abdo Publishing Company
19,Abingdon Press
20,Abradale Books/Harry N. Abrams
21,Abraham Guillen Press
22,Abrams
23,Absolute Press
24,Abstract Studio
25,Academic Press
26,Academica Press
27,Academy Chicago Publishers
28,Ace
29,ACE
30,Ace Book
31,Ace Books
32,Ace Hardcover
33,Ace Trade
34,Ace/SFBC
35,Acento Editorial
36,Acropolis Books (NY)
37,Actes Sud
38,Adamant Media Corporation
39,Adams Media
40,Addison Wesley
41,Addison Wesley Publishing Company
42,Addison-Wesley Professional
43,ADV Manga
44,Advantage World Press
45,Adventures Unlimited Press
46,Aegypan
47,Aerie
48,AHA! Process
49,AIT Planet Lar
50,Aivia Press
51,AK Press
52,Akashic Books/Punk Planet Books
53,Aladdin
54,Aladdin Paperbacks
55,Alan Rodgers Books
56,Albert Whitman  Company
57,Albin Michel
58,Albury Publishing
59,Alcoholics Anonymous World Services Inc
60,Alderac Entertainment Group
61,Alderac Entertainment Group (AEG)
62,Alfabeta Bokförlag
63,Alfaguara
64,Alfaguara Infantil
65,Alfred A. Knopf
66,Alfred A. Knopf  Inc.
67,Alfred A. Knopf Books for Young Readers
68,Alfred A. Knopf Borzoi Books
69,Alfred A.Knopf
70,Algonquin Books
71,Alianza Editorial
72,Alison Green Books
73,Allen & Ulwin
74,Allen Lane
75,Alliance Publishing
76,Allworth
77,Allyn & Bacon
78,Alpha
79,Alpha Books
80,Alyson Books
81,Amadeus
82,Amereon Limited
83,Amereon Ltd
84,America's Test Kitchen
85,American Diabetes Association
86,American Girl Publishing Inc
87,American University in Cairo Press
88,Amherst Media
89,Amherst Media  Inc.
90,Amistad
91,Amistad Press
92,AMR/Advanced Management Reports
93,Anagrama
94,Anchor
95,Anchor Bible
96,Anchor Books
97,Anchor Books/Knopf Doubleday Publishing Group
98,Anchor Canada
99,Andrews and McMeel
100,Andrews McMeel Publishing
101,Ann Arbor Media
102,Annick Press
103,Applause Books
104,Applause Theatre & Cinema Book Publishers
105,Apple
106,Apple Paperbacks (Scholastic)
107,Applewood Books
108,Apress
109,Arbordale Publishing
110,Arcade Publishing
111,Arcadia Publishing
112,Arcadia Publishing (SC)
113,Archaia
114,Archie Comics
115,Archipelago Books
116,Arden Shakespeare
117,Aris & Phillips
118,Aris and Phillips
119,Arkana
120,Arkana/Penguin
121,Arkham House Publishers
122,Arléa
123,Arlington House
124,Arrow
125,Arrow (A Division of Random House Group)
126,Arrow Books
127,Arrow Books Ltd
128,Arsenal Pulp Press
129,Arthur A. Levine
130,Arthur A. Levine Books
131,Arthur A. Levine Books / Scholastic Inc.
132,Artisan
133,Arts Publications
134,ASCD
135,Ash Tree Publishing
136,Ash-Tree Press
137,Aspect
138,Association for Scottish Literary Studies
139,Association for Supervision & Curriculum Development
140,Atelos Press
141,Atheneum
142,Atheneum Books
143,Atheneum Books for Young Readers
144,Atheneum Books for Young Readers: Richard Jackson Books
145,Atheneum/Richard Jackson Books
146,Atlantic
147,Atlantic Books
148,Atlantic Books (UK)
149,Atlantic Monthly Press
150,Atlantic Monthly Press (NYC)
151,Atlas Books/HarperCollins Publishers
152,Atria Books
153,Audio Literature
154,Audio Partners
155,Audio Renaissance
156,AudioGO
157,Audiogo
158,AudioText
159,Augsburg Fortress Publishing
160,Aurum
161,Aurum Press
162,Authorhouse
163,AVA Publishing
164,Avalon Travel
165,Ave Maria Press
166,Avenel Books
167,Avery
168,Avery Publishing Group
169,Avon
170,Avon Books
171,Avon Books (AvoNova)
172,Avon Books (P)
173,Avon HarperCollins
174,AvonEos
175,Award Books
176,B Books
177,B Fiction
178,B.E.S. Publishing
179,B&H Publishing Group
180,Babel
181,Back Bay
182,Back Bay Books
183,Backinprint.com
184,Backstage Books
185,Baen
186,Baen Books
187,Baker Books
188,Ballantine
189,Ballantine Books
190,BALLANTINE BOOKS
191,Ballantine Books (NY)
192,Banner of Truth
193,Bantam
194,Bantam (Fanfare Imprint)
195,Bantam (Fanfare)
196,Bantam Books
197,Bantam Books  Inc.
198,Bantam Books (NY)
199,Bantam Classic
200,Bantam Classics
201,Bantam Doubleday Dell (NYC)
202,Bantam Doubleday Dell Publishing Company Inc.
203,Bantam Doubleday Dell Publishing Group
204,Bantam Press
205,Bantam Skylark
206,Bantam Spectra
207,Bantam Spectra (NY)
208,Bantam Starfire
209,BantamSpectra
210,Bantem Press
211,Barbour Books
212,Barefoot Books
213,Barn Owl Books
214,Barnes  Noble
215,Barnes  Noble Classics
216,Barnes & Noble
217,Barnes & Noble Books
218,Barnes & Noble Classics
219,Baronet Books
220,Barricade Books
221,Barrington Stoke
222,Barron's Educational Series
223,Barrons Educational Series
224,Basic Books
