titulo,fecha_publicación,num_paginas,ranking,num_votantes_libro,num_comentarios,id_idioma,id_editorial
Venac sonetnih venaca,1/1/1996,222,0,0,0,srp,5
Mythographi Graeci 1: Apollodori Bibliotheca Apollodori epitoma Procli excerpta ex cycli epici carminibus Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana,7/15/1998,335,0,0,0,grc,1085
Out to Eat London 2002 (Lonely Planet Out to Eat),9/1/2001,295,0,0,0,eng,1190
Juiced Official Strategy Guide,6/1/2005,112,0,0,0,eng,323
Open City 6: The Only Woman He Ever Left,10/13/2000,200,0,0,0,eng,2291
"How To Meditate: An Anthology Of Talks On Meditation And ""Meditation: The Bridge Is Flowing But The River Is Not""",1/1/2004,228,0,0,0,eng,754
Insights: Talks On The Nature Of Existence,1/1/2003,304,0,0,0,eng,754
Brodie's notes on Aldous Huxley's brave new world,8/20/1992,71,0,0,0,eng,1214
American Film Guide,1/1/1983,5,0,0,0,eng,1769
The Man and the Author: John Milton: Twentieth Century Perspectives,11/8/2002,386,0,0,0,eng,1740
Canopy: A Work for Voice and Light in Harvard Yard,12/31/1997,63,0,0,0,eng,133
"Laguna I Love You: The Best of ""Our Town""",3/1/1996,285,0,0,0,eng,725
American Writers Supplement VIII,5/1/2001,400,0,0,0,eng,769
The Road To War 1933 39,4/1/2000,128,0,0,0,eng,986
I'll Be Home Before Midnight and I Won't Get Pregnant,5/12/1988,288,0,0,0,eng,1104
Sclerotherapy and vein treatment,12/30/2011,248,0,0,0,eng,1256
The Berlin Phenomenology,5/31/1981,210,0,0,0,eng,1895
Your Child and Jesus: A Family Activity Book,9/13/1999,112,0,0,0,eng,1313
Beckett Football Card Price Guide,9/1/2006,830,0,0,0,eng,242
Random House Crossword Mega Omnibus Volume 1,7/22/1997,336,0,0,0,eng,1675
Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons,8/5/2006,241,0,0,0,eng,1740
Day and Night,3/1/1989,32,0,0,1,eng,1264
The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,3/30/2002,176,0,0,0,eng,819
The Leadership Challenge: Skills for Taking Charge,12/1/1985,60,0,0,0,eng,92
Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton,12/9/1999,96,0,0,0,eng,268
Puzzle Pack: The Witch of Blackbird Pond,8/15/2005,134,1,2,0,eng,2291
Mandala Sand Art Kit,1/1/2004,8,1,1,0,eng,2188
The Art of Loving by Erich Fromm: A True Story of a Japanese Woman,10/31/2006,227,1.67,3,2,eng,1044
V.S. Naipaul,10/10/2003,240,2,1,0,eng,1457
