id,titulo,fecha_publicación,num_páginas,ranking,num_votantes_libro,num_comentarios,Id_idioma,id_editorial
1,Venac sonetnih venaca,1/1/1996,222,0,0,0,srp,5
2,Mythographi Graeci 1: Apollodori Bibliotheca Apollodori epitoma Procli excerpta ex cycli epici carminibus Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana,7/15/1998,335,0,0,0,grc,1085
3,Out to Eat London 2002 (Lonely Planet Out to Eat),9/1/2001,295,0,0,0,eng,1190
4,Juiced Official Strategy Guide,6/1/2005,112,0,0,0,eng,323
5,Open City 6: The Only Woman He Ever Left,10/13/2000,200,0,0,0,eng,824
6,"How To Meditate: An Anthology Of Talks On Meditation And ""Meditation: The Bridge Is Flowing But The River Is Not""",1/1/2004,228,0,0,0,eng,754
7,Insights: Talks On The Nature Of Existence,1/1/2003,304,0,0,0,eng,754
8,Brodie's notes on Aldous Huxley's brave new world,8/20/1992,71,0,0,0,eng,1214
9,American Film Guide,1/1/1983,5,0,0,0,eng,1769
10,The Man and the Author: John Milton: Twentieth Century Perspectives,11/8/2002,386,0,0,0,eng,1740
11,Canopy: A Work for Voice and Light in Harvard Yard,12/31/1997,63,0,0,0,eng,133
12,"Laguna I Love You: The Best of ""Our Town""",3/1/1996,285,0,0,0,eng,725
13,American Writers Supplement VIII,5/1/2001,400,0,0,0,eng,769
14,The Road To War 1933 39,4/1/2000,128,0,0,0,eng,984
15,I'll Be Home Before Midnight and I Won't Get Pregnant,5/12/1988,288,0,0,0,eng,588
16,Sclerotherapy and vein treatment,12/30/2011,248,0,0,0,eng,1251
17,The Berlin Phenomenology,5/31/1981,210,0,0,0,eng,1895
18,Your Child and Jesus: A Family Activity Book,9/13/1999,112,0,0,0,eng,1313
19,Beckett Football Card Price Guide,9/1/2006,830,0,0,0,eng,242
20,Random House Crossword Mega Omnibus Volume 1,7/22/1997,336,0,0,0,eng,1658
21,Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons,8/5/2006,241,0,0,0,eng,1740
22,Day and Night,3/1/1989,32,0,0,1,eng,1264
23,The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,3/30/2002,176,0,0,0,eng,818
24,The Leadership Challenge: Skills for Taking Charge,12/1/1985,60,0,0,0,eng,92
25,Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton,12/9/1999,96,0,0,0,eng,268
26,Puzzle Pack: The Witch of Blackbird Pond,8/15/2005,134,1,2,0,eng,1958
27,Mandala Sand Art Kit,1/1/2004,8,1,1,0,eng,2188
28,The Art of Loving by Erich Fromm: A True Story of a Japanese Woman,10/31/2006,227,1.67,3,2,eng,1044
29,V.S. Naipaul,10/10/2003,240,2,1,0,eng,1214
30,The Boys of the Archangel Raphael: A Youth Confraternity in Florence 1411-1785,5/30/1998,498,2,1,0,eng,2023
31,McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,4/12/2005,972,2,3,0,eng,1249
32,The Halloween Activity Book: Creepy Crawly Hairy Scary Things to Do,8/1/2002,32,2,1,1,eng,407
33,The Two Tocquevilles Father and Son,4/1/1987,254,2,1,0,eng,1628
34,The Earth and Its Peoples: A Global History Volume C: Since 1750,2/9/2004,370,2,1,1,eng,380
35,The Die Broke Financial Problem Solver,12/26/2000,272,2.33,3,0,eng,1317
36,Citizen Girl,10/4/2005,305,2.4,5415,577,eng,2198
37,Field Guide to Home Buying in America,5/15/1988,256,2.5,4,1,eng,2029
38,The Trouble with the Pears: An Intimate Portrait of Erzsebet Bathory,2/14/2006,272,2.55,33,7,eng,162
39,A Matter of Trust,12/23/1994,224,2.61,36,5,eng,866
40,Planet of the Apes Volume 1: Old Gods,3/5/2002,80,2.62,8,2,eng,501
41,Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free,4/1/2006,144,2.62,2,1,eng,22
42,13th Directorate,2/28/1989,0,2.62,8,1,eng,1061
43,The Governess,9/26/2005,132,2.63,242,6,eng,334
44,Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,1/1/1998,260,2.67,3,1,eng,1172
45,The Birds (Methuen Drama),7/22/2002,96,2.67,3,1,eng,289
46,In Web Design for Libraries,12/1/2006,196,2.67,9,2,eng,1146
47,Juneau and Sauk Counties: 1850-2000 (Images of America: Wisconsin),3/5/2002,128,2.67,3,0,eng,111
48,Alentejo Blue,6/20/2006,304,2.72,788,104,eng,1800
49,Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,4/5/2004,24,2.75,4,1,eng,2166
50,Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences,10/18/2004,360,2.75,4,1,eng,1484
51,Raised on Rock: Growing Up at Graceland,12/1/1931,192,2.75,4,0,eng,2033
52,Bright Star's Promise,7/1/1994,444,2.77,13,3,eng,2271
53,Yellow Dog,1/4/2005,352,2.79,1449,94,eng,2139
54,Cliffs Notes on Aristophanes' Lysistrata The Birds The Clouds The Frogs,12/29/1983,80,2.8,5,0,eng,428
55,Ewan McGregor: From Junkie to Jedi,5/5/1999,144,2.8,10,1,eng,1579
56,You Don't Love Me Yet,5/29/2007,225,2.81,3854,547,eng,588
57,Four Blondes,6/8/2001,256,2.82,23409,877,eng,824
58,Lost,9/17/2002,340,2.82,13152,904,eng,1317
